Date,Price,DaysFromPeak,DrawdownPct,PctOfPeak
2011-06-08,29.0299,0,0.0000,100.0000
2011-06-09,28.7905,1,-0.8246,99.1754
2011-06-10,24.0494,2,-17.1565,82.8435
2011-06-11,14.7497,3,-49.1912,50.8088
2011-06-12,18.8501,4,-35.0665,64.9335
2011-06-13,19.5423,5,-32.6821,67.3179
2011-06-14,19.2577,6,-33.6625,66.3375
2011-06-15,19.4641,7,-32.9514,67.0486
2011-06-16,17.9294,8,-38.2383,61.7617
2011-06-17,15.4364,9,-46.8260,53.1740
2011-06-18,16.8754,10,-41.8689,58.1311
2011-06-19,17.5107,11,-39.6805,60.3195
2011-06-20,17.5107,12,-39.6805,60.3195
2011-06-21,17.5107,13,-39.6805,60.3195
2011-06-22,17.5107,14,-39.6805,60.3195
2011-06-23,17.5107,15,-39.6805,60.3195
2011-06-24,17.5107,16,-39.6805,60.3195
2011-06-25,17.5107,17,-39.6805,60.3195
2011-06-26,16.3613,18,-43.6397,56.3603
2011-06-27,16.7523,19,-42.2930,57.7070
2011-06-28,16.9618,20,-41.5712,58.4288
2011-06-29,16.8546,21,-41.9407,58.0593
2011-06-30,16.1853,22,-44.2463,55.7537
2011-07-01,15.4204,23,-46.8812,53.1188
2011-07-02,15.3828,24,-47.0104,52.9896
2011-07-03,15.4576,25,-46.7530,53.2470
2011-07-04,13.8528,26,-52.2810,47.7190
2011-07-05,12.9648,27,-55.3398,44.6602
2011-07-06,14.7148,28,-49.3117,50.6883
2011-07-07,14.7973,29,-49.0275,50.9725
2011-07-08,14.2990,30,-50.7438,49.2562
2011-07-09,14.3815,31,-50.4597,49.5403
2011-07-10,14.6229,32,-49.6280,50.3720
2011-07-11,14.3102,33,-50.7055,49.2945
2011-07-12,14.0213,34,-51.7006,48.2994
2011-07-13,13.9715,35,-51.8722,48.1278
2011-07-14,13.9980,36,-51.7809,48.2191
2011-07-15,13.8064,37,-52.4408,47.5592
2011-07-16,13.7131,38,-52.7623,47.2377
2011-07-17,13.2581,39,-54.3294,45.6706
2011-07-18,13.6305,40,-53.0466,46.9534
2011-07-19,13.8248,41,-52.3774,47.6226
2011-07-20,13.6783,42,-52.8820,47.1180
2011-07-21,13.6118,43,-53.1111,46.8889
2011-07-22,13.6985,44,-52.8123,47.1877
2011-07-23,13.6817,45,-52.8703,47.1297
2011-07-24,13.9925,46,-51.7997,48.2003
2011-07-25,14.0334,47,-51.6588,48.3412
2011-07-26,13.8780,48,-52.1940,47.8060
2011-07-27,13.8782,49,-52.1934,47.8066
2011-07-28,13.4916,50,-53.5252,46.4748
2011-07-29,13.5123,51,-53.4538,46.5462
2011-07-30,13.5403,52,-53.3575,46.6425
2011-07-31,13.3729,53,-53.9341,46.0659
2011-08-01,13.0191,54,-55.1528,44.8472
2011-08-02,12.2142,55,-57.9256,42.0744
2011-08-03,9.2864,56,-68.0111,31.9889
2011-08-04,10.7685,57,-62.9055,37.0945
2011-08-05,9.7302,58,-66.4823,33.5177
2011-08-06,6.9642,59,-76.0104,23.9896
2011-08-07,8.5018,60,-70.7137,29.2863
2011-08-08,7.7753,61,-73.2161,26.7839
2011-08-09,9.8025,62,-66.2331,33.7669
2011-08-10,10.0513,63,-65.3762,34.6238
2011-08-11,9.4384,64,-67.4873,32.5127
2011-08-12,9.4530,65,-67.4371,32.5629
2011-08-13,10.0040,66,-65.5389,34.4611
2011-08-14,10.8068,67,-62.7735,37.2265
2011-08-15,11.1307,68,-61.6578,38.3422
2011-08-16,10.9920,69,-62.1357,37.8643
2011-08-17,10.9640,70,-62.2322,37.7678
2011-08-18,10.8585,71,-62.5956,37.4044
2011-08-19,11.6705,72,-59.7985,40.2015
2011-08-20,11.4597,73,-60.5244,39.4756
2011-08-21,11.3545,74,-60.8870,39.1130
2011-08-22,10.9209,75,-62.3806,37.6194
2011-08-23,10.9172,76,-62.3931,37.6069
2011-08-24,10.8704,77,-62.5543,37.4457
2011-08-25,9.5461,78,-67.1164,32.8836
2011-08-26,8.1269,79,-72.0050,27.9950
2011-08-27,8.5965,80,-70.3875,29.6125
