time,open,high,low,close
8/18/2011,10.9,10.9,10.9,10.9
8/19/2011,11.85,11.85,11.15,11.69
8/20/2011,11.7,11.7,11.7,11.7
8/21/2011,11.7,11.7,11.7,11.7
8/22/2011,11.7,11.7,11.7,11.7
8/24/2011,11.5,11.5,10.5,10.5
8/25/2011,10,10,10,10
8/30/2011,8,8,8,8
9/1/2011,8,8.31,5.25,8.22
9/2/2011,8.12,8.88,8,8.88
9/4/2011,8.89,8.89,8.89,8.89
9/6/2011,8,8,8,8
9/7/2011,8.5,8.5,8.5,8.5
9/8/2011,7.98,7.98,7.4,7.4
9/13/2011,5.8,6,5.65,5.97
9/14/2011,5.58,5.72,5.52,5.53
9/15/2011,5.12,5.24,5,5.13
9/16/2011,4.82,4.87,4.8,4.85
9/17/2011,4.87,4.87,4.87,4.87
9/18/2011,4.87,4.92,4.81,4.92
9/19/2011,4.9,4.9,4.9,4.9
9/20/2011,4.92,5.66,4.92,5.66
9/21/2011,5.7,5.79,5.66,5.66
9/22/2011,5.68,5.72,5.68,5.72
9/23/2011,5.7,5.72,5.7,5.72
9/24/2011,5.7,5.76,5.68,5.68
9/25/2011,6.05,6.05,6.05,6.05
9/26/2011,6.06,6.06,4.8,4.8
9/27/2011,4.85,4.92,4.85,4.92
9/28/2011,4.9,4.91,4.82,4.82
9/29/2011,4.81,4.82,4.81,4.82
10/3/2011,4.85,4.87,4.83,4.87
10/4/2011,4.86,5.3,4.8,4.98
10/5/2011,4.92,6.25,4.8,4.92
10/6/2011,4.88,4.99,4.8,4.8
10/7/2011,4.8,4.81,4.59,4.61
10/8/2011,4.57,4.57,3.99,3.99
10/9/2011,3.89,3.89,3.89,3.89
10/10/2011,3.99,4.51,3.99,4.51
10/11/2011,3.98,4.1,3.98,4.1
10/12/2011,3.95,3.99,3.93,3.93
10/13/2011,3.93,3.97,3.93,3.97
10/14/2011,4.05,4.05,4.05,4.05
10/17/2011,3.92,3.92,3.92,3.92
10/20/2011,2.22,2.29,2.22,2.24
10/21/2011,2.22,2.27,2.22,2.27
10/24/2011,2.99,2.99,2.92,2.92
10/25/2011,2.66,2.72,2.66,2.72
10/26/2011,2.72,3,2.67,2.69
10/28/2011,3.07,4.36,3.07,4.2
10/29/2011,3.69,4.4,3.69,3.95
10/30/2011,3.85,3.85,3.2,3.5
10/31/2011,3.25,3.55,3.2,3.3
11/1/2011,3.32,3.33,3.32,3.33
11/4/2011,3.27,3.55,3.21,3.55
11/5/2011,3.21,3.21,3,3
11/6/2011,2.95,2.95,2.95,2.95
11/8/2011,3.08,3.08,3.08,3.08
11/9/2011,3.09,3.3,3.09,3.3
11/10/2011,3.25,3.3,2.95,3.3
11/11/2011,3.3,3.3,3.3,3.3
11/12/2011,3.35,3.35,3.35,3.35
11/13/2011,3.35,3.35,3.35,3.35
11/14/2011,2.95,2.95,2.47,2.47
11/15/2011,2.99,3,2.5,2.5
11/16/2011,2.51,3,2.51,3
11/17/2011,3,3,2.5,2.99
11/18/2011,2.5,2.79,2.5,2.5
11/19/2011,2.5,2.5,2.43,2.43
11/20/2011,2.37,2.37,2.37,2.37
11/21/2011,2.45,3,2.25,2.25
11/22/2011,2.53,2.59,2.46,2.59
11/24/2011,2.54,3,2.54,3
11/25/2011,2.5,15,2.5,2.75
11/26/2011,2.77,2.77,2.77,2.77
11/28/2011,2.67,2.78,2.66,2.66
11/29/2011,2.69,3.23,2.69,2.72
11/30/2011,3.19,3.19,3.19,3.19
12/1/2011,3.46,3.48,3.3,3.42
12/2/2011,3.45,3.45,3.04,3.04
12/3/2011,2.93,2.93,2.93,2.93
12/5/2011,2.82,2.99,2.82,2.93
12/6/2011,2.9,3.25,2.89,2.98
12/7/2011,3.05,3.35,3.05,3.3
12/8/2011,3.27,3.5,2.95,3.3
12/10/2011,3.2,3.2,3,3.2
12/11/2011,3.17,3.37,3.17,3.27
12/12/2011,3.37,3.6,3.37,3.48
12/13/2011,3.25,3.59,3.25,3.56
12/14/2011,3.42,3.49,3.42,3.47
12/15/2011,3.39,3.45,3.39,3.45
12/16/2011,3.25,3.5,3.25,3.44
12/18/2011,3.25,3.5,3.25,3.5
12/19/2011,3.5,3.98,3.5,3.85
12/20/2011,4.75,4.75,4.53,4.55
12/21/2011,4.38,4.38,4.38,4.38
12/22/2011,4.19,4.19,4.17,4.17
12/23/2011,3.86,4.35,3.84,4.22
12/24/2011,4.33,4.33,4.33,4.33
12/25/2011,4.32,4.32,4.27,4.27
12/26/2011,4.27,4.33,4.27,4.33
12/27/2011,4.33,4.33,4.29,4.29
12/28/2011,4.29,4.3,4.25,4.3
12/29/2011,4.3,4.5,4.3,4.5
12/30/2011,4.26,4.5,4.21,4.21
12/31/2011,4.39,4.58,4.39,4.58
1/1/2012,4.58,5,4.58,5
1/2/2012,5,5,5,5
1/3/2012,5.32,5.32,5.14,5.29
1/4/2012,4.93,5.57,4.93,5.57
1/5/2012,5.72,6.65,5.72,6.65
1/6/2012,6.65,6.9,6,6
1/7/2012,6.8,6.8,6.8,6.8
1/8/2012,6.9,7,6.9,7
1/9/2012,6.99,6.99,6.23,6.3
1/10/2012,6.24,7.14,6.24,7.14
1/11/2012,7.14,7.33,6.25,7
1/12/2012,6.95,7.38,6.51,6.51
1/13/2012,6.8,7.36,6.6,6.6
1/14/2012,6.5,6.5,6.3,6.3
1/15/2012,7.15,7.15,7.15,7.15
1/16/2012,6.2,7.1,6.2,7.1
1/17/2012,6.5,6.9,6,6
1/18/2012,5.99,7.1,5.99,7.1
1/19/2012,5.52,7,5.52,6.22
1/20/2012,6.9,6.95,6.55,6.95
1/21/2012,6.3,6.77,6.28,6.77
1/22/2012,6.79,6.83,6.03,6.79
1/23/2012,6.5,6.52,6,6.52
1/24/2012,6.52,6.57,6,6.55
1/25/2012,6.26,6.86,6,6.31
1/26/2012,6.27,6.3,5.5,5.5
1/27/2012,3.8,6.03,3.8,5.88
1/28/2012,4.91,4.91,4.91,4.91
1/29/2012,5.89,5.9,5.3,5.5
1/30/2012,5.3,5.58,5.3,5.58
1/31/2012,5.7,6.22,3.8,5.3
2/1/2012,5.53,5.99,5.52,5.88
2/2/2012,5.99,6.28,5.89,6.28
2/3/2012,6.29,6.35,5.93,6.3
2/4/2012,6.35,6.5,5.94,5.94
2/5/2012,5.93,6.15,5.6,5.6
2/6/2012,5.6,5.9,5.2,5.6
2/7/2012,5.5,5.88,5.5,5.69
2/8/2012,5.79,5.87,5.66,5.87
2/9/2012,5.52,5.89,5.51,5.89
2/10/2012,5.88,5.88,5.8,5.88
2/11/2012,5.71,5.71,5.5,5.5
2/12/2012,5.78,5.78,5.55,5.67
2/13/2012,5.53,5.79,5.5,5.79
2/14/2012,5.2,5.8,4.56,4.89
2/15/2012,4.9,5.08,4.69,4.69
2/16/2012,4.5,4.98,4.15,4.51
2/17/2012,4.67,4.8,4.5,4.67
2/18/2012,4.67,4.73,4.14,4.23
2/19/2012,4.38,4.38,4.3,4.38
2/20/2012,4.72,4.72,4.4,4.44
2/21/2012,4.52,4.58,4.3,4.58
2/22/2012,4.47,4.59,4.46,4.51
2/23/2012,4.59,5.22,4.55,5.22
2/24/2012,5.12,5.22,4.95,4.95
2/25/2012,5.11,5.11,5,5
2/26/2012,4.79,5.07,4.78,4.98
2/27/2012,4.97,5.1,4.95,5.04
2/28/2012,5.09,5.1,4.71,4.88
2/29/2012,4.97,5,4.85,4.99
3/1/2012,4.99,5.05,4.9,5
3/2/2012,4.99,4.99,4.64,4.79
3/3/2012,4.81,4.99,4.6,4.65
3/4/2012,4.78,4.81,4.77,4.81
3/5/2012,4.8,5.06,4.77,5.06
3/6/2012,5,5.05,4.95,4.98
3/7/2012,5.05,5.09,4.93,4.93
3/8/2012,4.94,5.08,4.87,5.01
3/9/2012,5.01,5.07,4.93,4.93
3/10/2012,4.91,4.99,4.85,4.94
3/11/2012,4.94,5,4.84,5
3/12/2012,4.85,4.99,4.85,4.99
3/13/2012,4.99,5.32,4.96,5.3
3/14/2012,5.32,5.44,5.27,5.27
3/15/2012,5.27,5.43,5.27,5.39
3/16/2012,5.3,5.41,5.26,5.26
3/17/2012,5.38,5.42,5.38,5.42
3/18/2012,5.41,5.42,5.24,5.25
3/19/2012,5.24,5.37,4.83,4.83
3/20/2012,4.82,4.97,4.79,4.79
3/21/2012,4.9,4.96,4.9,4.96
3/22/2012,4.86,4.98,4.72,4.91
3/23/2012,4.73,4.89,4.6,4.78
3/24/2012,4.72,4.83,4.62,4.83
3/25/2012,4.61,4.84,4.54,4.54
3/26/2012,4.6,4.75,4.54,4.73
3/27/2012,4.54,4.97,4.54,4.84
3/28/2012,4.75,4.95,4.72,4.93
3/29/2012,4.93,4.93,4.77,4.84
3/30/2012,4.81,4.91,4.76,4.88
3/31/2012,4.9,4.92,4.89,4.9
4/1/2012,4.89,4.89,4.77,4.89
4/2/2012,4.8,5.04,4.78,5.04
4/3/2012,5.04,5.04,4.86,4.99
4/4/2012,4.92,5.01,4.86,5.01
4/5/2012,4.99,5.04,4.89,5
4/6/2012,4.9,4.99,4.81,4.99
4/7/2012,4.94,4.94,4.7,4.7
4/8/2012,4.8,4.8,4.69,4.76
4/9/2012,4.7,4.85,4.7,4.75
4/10/2012,4.75,4.87,4.75,4.8
4/11/2012,4.86,4.92,4.78,4.92
4/12/2012,4.87,4.93,4.73,4.93
4/13/2012,4.88,4.95,4.81,4.93
4/14/2012,4.94,5.01,4.94,4.96
4/15/2012,4.96,4.99,4.92,4.99
4/16/2012,4.93,4.98,4.93,4.98
4/17/2012,4.99,4.99,4.95,4.98
