regime,starting_bcr,min_bcr_mechanical
apr_2013,1,0.000000
apr_2013,1.1,0.000000
apr_2013,1.2,0.000000
apr_2013,1.3,0.000000
apr_2013,1.4,0.000000
apr_2013,1.5,0.000000
apr_2013,1.6,0.000000
apr_2013,1.7,0.000000
apr_2013,1.8,0.000000
apr_2013,1.9,0.000000
apr_2013,2,0.000000
apr_2013,2.1,0.000000
apr_2013,2.2,0.000000
apr_2013,2.3,0.000000
apr_2013,2.4,0.000000
apr_2013,2.5,0.000000
apr_2013,2.6,0.000000
apr_2013,2.7,0.000000
apr_2013,2.8,0.000000
apr_2013,2.9,0.000000
apr_2013,3,0.000000
apr_2013,3.1,0.149356
apr_2013,3.2,0.558222
apr_2013,3.3,0.806130
apr_2013,3.4,0.835099
apr_2013,3.5,0.864069
apr_2013,3.6,0.893038
apr_2013,3.7,0.922008
apr_2013,3.8,0.950977
apr_2013,3.9,0.979947
apr_2013,4,1.008916
apr_2013,5,1.298610
apr_2013,6,1.588305
apr_2013,6.1,1.617274
apr_2013,6.2,1.646243
apr_2013,6.3,1.675213
apr_2013,6.4,1.704182
apr_2013,6.5,1.733152
apr_2013,6.6,1.762121
apr_2013,6.7,1.791091
apr_2013,6.8,1.820060
apr_2013,6.9,1.849030
apr_2013,7,1.877999
apr_2013,7.1,1.906968
apr_2013,7.2,1.935938
apr_2013,7.3,1.964907
apr_2013,7.4,1.993877
apr_2013,7.5,2.022846
apr_2013,7.6,2.051816
apr_2013,7.7,2.080785
apr_2013,7.8,2.109754
apr_2013,7.9,2.138724
apr_2013,8,2.167693
apr_2013,8.1,2.196663
apr_2013,8.2,2.225632
apr_2013,8.3,2.254602
apr_2013,8.4,2.283571
apr_2013,8.5,2.312540
apr_2013,8.6,2.341510
apr_2013,8.7,2.370479
apr_2013,8.8,2.399449
apr_2013,8.9,2.428418
apr_2013,9,2.457388
apr_2013,9.1,2.486357
apr_2013,9.2,2.515326
apr_2013,9.3,2.544296
apr_2013,9.4,2.573265
