regime,starting_bcr,min_bcr_mechanical
apr_2013,1,0.000000
apr_2013,1.1,0.000000
apr_2013,1.2,0.000000
apr_2013,1.3,0.000000
apr_2013,1.4,0.000000
apr_2013,1.5,0.000000
apr_2013,1.6,0.000000
apr_2013,1.7,0.000000
apr_2013,1.8,0.000000
apr_2013,1.9,0.000000
apr_2013,2,0.000000
apr_2013,2.1,0.000000
apr_2013,2.2,0.000000
apr_2013,2.3,0.000000
apr_2013,2.4,0.000000
apr_2013,2.5,0.000000
apr_2013,2.6,0.000000
apr_2013,2.7,0.000000
apr_2013,2.8,0.000000
apr_2013,2.9,0.000000
apr_2013,3,0.199484
apr_2013,3.1,0.651197
apr_2013,3.2,0.782531
apr_2013,3.3,0.811500
apr_2013,3.4,0.840470
apr_2013,3.5,0.869439
apr_2013,3.6,0.898409
apr_2013,3.7,0.927378
apr_2013,3.8,0.956348
apr_2013,3.9,0.985317
apr_2013,4,1.014286
apr_2013,5,1.303981
apr_2013,6,1.593675
apr_2013,6.1,1.622645
apr_2013,6.2,1.651614
apr_2013,6.3,1.680583
apr_2013,6.4,1.709553
apr_2013,6.5,1.738522
apr_2013,6.6,1.767492
apr_2013,6.7,1.796461
apr_2013,6.8,1.825431
apr_2013,6.9,1.854400
apr_2013,7,1.883369
apr_2013,7.1,1.912339
apr_2013,7.2,1.941308
apr_2013,7.3,1.970278
apr_2013,7.4,1.999247
apr_2013,7.5,2.028217
apr_2013,7.6,2.057186
apr_2013,7.7,2.086155
apr_2013,7.8,2.115125
apr_2013,7.9,2.144094
apr_2013,8,2.173064
apr_2013,8.1,2.202033
apr_2013,8.2,2.231003
apr_2013,8.3,2.259972
apr_2013,8.4,2.288941
apr_2013,8.5,2.317911
apr_2013,8.6,2.346880
apr_2013,8.7,2.375850
apr_2013,8.8,2.404819
apr_2013,8.9,2.433789
apr_2013,9,2.462758
apr_2013,9.1,2.491727
apr_2013,9.2,2.520697
apr_2013,9.3,2.549666
apr_2013,9.4,2.578636
