regime,scenario_id,starting_bcr,terminal_state,peak_date,peak_price_usd,trough_date,trough_price_usd,max_drawdown_from_peak,days_to_trough,min_bcr,min_bcr_date,days_to_bcr_min,primary_failure_date,days_to_primary_failure,terminal_liquidity_date,days_to_terminal_liquidity,primary_to_terminal_gap_days,recovery_date,days_to_recovery,terminal_date,terminal_bcr,terminal_btc_reserve_index,terminal_btc_held_index,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_usd,cumulative_payments_over_annual,annual_obligation_usd,monthly_obligation_usd,btc_at_peak,required_starting_bcr_lo,required_starting_bcr_hi,required_starting_bcr_terminal_lo,required_starting_bcr_terminal_hi,scenarios_total,days_below_bcr_1,days_below_bcr_2,days_below_bcr_5,time_weighted_avg_bcr
early_2011,early_2011_bcr1.0,1,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.991753330187152,2011-06-09,1,2011-06-09,1,2011-09-09,93,92,,,2015-06-08,0.991753330187152,0.991753330187152,1,0,0,0,0,1000000000,83333333.33333333,34447242.32601559,15.6,15.7,7.6,7.7,245,1461,1462,1462,0.9917589708641681
early_2011,early_2011_bcr1.1,1.1,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9112790605548073,2011-06-10,2,2011-06-10,2,2011-09-09,93,91,,,2015-06-08,0.9112790605548073,0.8284355095952793,1,0,0,0,0,909090909.090909,75757575.75757575,34447242.32601559,15.6,15.7,7.6,7.7,245,1460,1462,1462,0.9115310239898685
early_2011,early_2011_bcr1.2,1.2,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9941226115143351,2011-06-10,2,2011-06-10,2,2011-10-01,115,113,,,2015-06-08,0.9941226115143351,0.8284355095952793,1,0,0,0,0,833333333.3333334,69444444.44444445,34447242.32601559,15.6,15.7,7.6,7.7,245,1460,1462,1462,0.9943974807162176
early_2011,early_2011_bcr1.3,1.3,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.6605124371768419,2011-06-11,3,2011-06-11,3,2011-10-01,115,112,,,2015-06-08,0.6605124371768419,0.5080864901360322,1,0,0,0,0,769230769.2307692,64102564.1025641,34447242.32601559,15.6,15.7,7.6,7.7,245,1459,1462,1462,0.6616647683534547
early_2011,early_2011_bcr1.4,1.4,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.711321086190445,2011-06-11,3,2011-06-11,3,2011-10-01,115,112,,,2015-06-08,0.711321086190445,0.5080864901360322,1,0,0,0,0,714285714.2857144,59523809.52380953,34447242.32601559,15.6,15.7,7.6,7.7,245,1459,1462,1462,0.7125620582267685
early_2011,early_2011_bcr1.5,1.5,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.7621297352040484,2011-06-11,3,2011-06-11,3,2011-10-01,115,112,,,2015-06-08,0.7621297352040484,0.5080864901360322,1,0,0,0,0,666666666.6666666,55555555.55555555,34447242.32601559,15.6,15.7,7.6,7.7,245,1459,1462,1462,0.7634593481001476
early_2011,early_2011_bcr1.6,1.6,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.8129383842176515,2011-06-11,3,2011-06-11,3,2011-10-06,120,117,,,2015-06-08,0.8129383842176515,0.5080864901360322,1,0,0,0,0,625000000,52083333.333333336,34447242.32601559,15.6,15.7,7.6,7.7,245,1459,1462,1462,0.8143566379734715
early_2011,early_2011_bcr1.7,1.7,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.8637470332312548,2011-06-11,3,2011-06-11,3,2011-10-08,122,119,,,2015-06-08,0.8637470332312548,0.5080864901360322,1,0,0,0,0,588235294.117647,49019607.84313726,34447242.32601559,15.6,15.7,7.6,7.7,245,1459,1462,1462,0.8652539278467897
early_2011,early_2011_bcr1.8,1.8,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.914555682244858,2011-06-11,3,2011-06-11,3,2011-10-17,131,128,,,2015-06-08,0.914555682244858,0.5080864901360322,1,0,0,0,0,555555555.5555556,46296296.2962963,34447242.32601559,15.6,15.7,7.6,7.7,245,1459,1462,1462,0.9161512177201411
early_2011,early_2011_bcr1.9,1.9,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9653643312584611,2011-06-11,3,2011-06-11,3,2011-10-17,131,128,,,2015-06-08,0.9653643312584611,0.5080864901360322,1,0,0,0,0,526315789.47368425,43859649.12280702,34447242.32601559,15.6,15.7,7.6,7.7,245,1459,1462,1462,0.9670485075935161
early_2011,early_2011_bcr2.0,2,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.9829854221688585,2011-07-01,23,2011-07-01,23,2011-10-17,131,108,,,2015-06-08,0.9829854221688585,0.49149271108442927,0.925266805887647,0.07473319411235302,41666666.66666669,41666666.66666669,0.08333333333333337,500000000,41666666.666666664,34447242.32601559,15.6,15.7,7.6,7.7,245,1439,1461,1462,0.9877115217545465
early_2011,early_2011_bcr2.1,2.1,failed_terminal,2011-06-08,29.0299,2011-11-18,2.1051,0.9274851101795045,163,0.93077661367076,2011-07-04,26,2011-07-04,26,2011-10-19,133,107,,,2015-06-08,0.93077661367076,0.4432269588908381,0.9288255294168067,0.07117447058319326,39682539.68253969,39682539.68253969,0.08333333333333334,476190476.1904762,39682539.68253968,34447242.32601559,15.6,15.7,7.6,7.7,245,1436,1460,1462,0.9375525333681399
