drawdown_fraction,duration_days,required_starting_bcr,required_starting_bcr_terminal,synthesis_status
0.2,0,,,degenerate
0.2,60,1.4,,ok
0.2,120,1.6,,ok
0.2,180,1.7,,ok
0.2,240,1.9,,ok
0.2,300,2.1,,ok
0.2,360,2.3,,ok
0.2,420,2.5,,ok
0.2,480,2.7,,ok
0.2,540,2.8,,ok
0.2,600,3,,ok
0.2,660,3.2,,ok
0.2,720,3.4,,ok
0.2,780,3.6,,ok
0.2,840,3.8,,ok
0.2,900,4,,ok
0.2,960,4.2,,ok
0.2,1020,4.4,,ok
0.2,1080,4.5,,ok
0.2,1140,4.7,,ok
0.2,1200,4.9,,ok
0.2,1260,5.1,,ok
0.2,1320,5.3,,ok
0.2,1380,5.5,,ok
0.2,1440,5.7,,ok
0.2,1500,5.8,,ok
0.2,1560,6,,ok
0.2,1620,6.2,,ok
0.2,1680,6.4,,ok
0.2,1740,6.6,,ok
0.2,1800,6.8,,ok
0.225,0,,,degenerate
0.225,60,1.4,,ok
0.225,120,1.6,,ok
0.225,180,1.8,,ok
0.225,240,1.9,,ok
0.225,300,2.1,,ok
0.225,360,2.3,,ok
0.225,420,2.5,,ok
0.225,480,2.7,,ok
0.225,540,2.9,,ok
0.225,600,3.1,,ok
0.225,660,3.3,,ok
0.225,720,3.5,,ok
0.225,780,3.7,,ok
0.225,840,3.9,,ok
0.225,900,4,,ok
0.225,960,4.2,,ok
0.225,1020,4.4,,ok
0.225,1080,4.6,,ok
0.225,1140,4.8,,ok
0.225,1200,5,,ok
0.225,1260,5.2,,ok
0.225,1320,5.4,,ok
0.225,1380,5.6,,ok
0.225,1440,5.8,,ok
0.225,1500,6,,ok
0.225,1560,6.1,,ok
0.225,1620,6.3,,ok
0.225,1680,6.5,,ok
0.225,1740,6.7,,ok
0.225,1800,6.9,,ok
0.25,0,,,degenerate
0.25,60,1.5,,ok
0.25,120,1.6,,ok
0.25,180,1.8,,ok
0.25,240,2,,ok
0.25,300,2.2,,ok
0.25,360,2.3,,ok
0.25,420,2.5,,ok
0.25,480,2.7,,ok
0.25,540,2.9,,ok
0.25,600,3.1,,ok
0.25,660,3.3,,ok
0.25,720,3.5,,ok
0.25,780,3.7,,ok
0.25,840,3.9,,ok
0.25,900,4.1,,ok
0.25,960,4.3,,ok
0.25,1020,4.5,,ok
0.25,1080,4.7,,ok
0.25,1140,4.9,,ok
0.25,1200,5.1,,ok
0.25,1260,5.3,,ok
0.25,1320,5.5,,ok
0.25,1380,5.7,,ok
0.25,1440,5.9,,ok
0.25,1500,6.1,,ok
0.25,1560,6.3,,ok
0.25,1620,6.5,,ok
0.25,1680,6.7,,ok
0.25,1740,6.9,,ok
0.25,1800,7.1,,ok
0.275,0,,,degenerate
0.275,60,1.5,,ok
0.275,120,1.7,,ok
0.275,180,1.8,,ok
0.275,240,2,,ok
0.275,300,2.2,,ok
0.275,360,2.4,,ok
0.275,420,2.6,,ok
0.275,480,2.8,,ok
0.275,540,3,,ok
0.275,600,3.2,,ok
0.275,660,3.4,,ok
0.275,720,3.6,,ok
0.275,780,3.8,,ok
0.275,840,4,,ok
0.275,900,4.2,,ok
0.275,960,4.4,,ok
0.275,1020,4.6,,ok
0.275,1080,4.8,,ok
0.275,1140,5,,ok
0.275,1200,5.2,,ok
0.275,1260,5.4,,ok
0.275,1320,5.6,,ok
0.275,1380,5.8,,ok
0.275,1440,6,,ok
0.275,1500,6.2,,ok
0.275,1560,6.4,,ok
0.275,1620,6.6,,ok
0.275,1680,6.8,,ok
0.275,1740,7,,ok
0.275,1800,7.2,,ok
0.3,0,,,degenerate
0.3,60,1.6,,ok
0.3,120,1.7,,ok
0.3,180,1.9,,ok
0.3,240,2,,ok
0.3,300,2.2,,ok
0.3,360,2.4,,ok
0.3,420,2.6,,ok
0.3,480,2.8,,ok
0.3,540,3,,ok
0.3,600,3.2,,ok
0.3,660,3.4,,ok
0.3,720,3.6,,ok
0.3,780,3.8,,ok
0.3,840,4.1,,ok
0.3,900,4.3,,ok
0.3,960,4.5,,ok
0.3,1020,4.7,,ok
0.3,1080,4.8,,ok
0.3,1140,5.1,,ok
0.3,1200,5.3,,ok
0.3,1260,5.5,,ok
0.3,1320,5.7,,ok
0.3,1380,5.9,,ok
0.3,1440,6.1,,ok
0.3,1500,6.3,,ok
0.3,1560,6.5,,ok
0.3,1620,6.7,,ok
0.3,1680,6.9,,ok
0.3,1740,7.1,,ok
0.3,1800,7.3,,ok
0.325,0,,,degenerate
0.325,60,1.6,,ok
0.325,120,1.8,,ok
0.325,180,1.9,,ok
0.325,240,2.1,,ok
0.325,300,2.3,,ok
0.325,360,2.5,,ok
0.325,420,2.7,,ok
0.325,480,2.9,,ok
0.325,540,3.1,,ok
0.325,600,3.3,,ok
0.325,660,3.5,,ok
0.325,720,3.7,,ok
0.325,780,3.9,,ok
0.325,840,4.1,,ok
0.325,900,4.3,,ok
0.325,960,4.5,,ok
0.325,1020,4.7,,ok
0.325,1080,4.9,,ok
0.325,1140,5.2,,ok
0.325,1200,5.4,,ok
0.325,1260,5.6,,ok
0.325,1320,5.8,,ok
0.325,1380,6,,ok
0.325,1440,6.2,,ok
0.325,1500,6.4,,ok
0.325,1560,6.6,,ok
0.325,1620,6.9,,ok
0.325,1680,7.1,,ok
0.325,1740,7.3,,ok
0.325,1800,7.5,,ok
0.35,0,,,degenerate
0.35,60,1.7,,ok
0.35,120,1.8,,ok
0.35,180,2,,ok
0.35,240,2.1,,ok
0.35,300,2.3,,ok
0.35,360,2.5,,ok
0.35,420,2.7,,ok
0.35,480,2.9,,ok
0.35,540,3.1,,ok
0.35,600,3.3,,ok
0.35,660,3.6,,ok
0.35,720,3.8,,ok
0.35,780,4,,ok
0.35,840,4.2,,ok
0.35,900,4.4,,ok
0.35,960,4.6,,ok
0.35,1020,4.8,,ok
0.35,1080,5,,ok
0.35,1140,5.3,,ok
0.35,1200,5.5,,ok
0.35,1260,5.7,,ok
0.35,1320,5.9,,ok
0.35,1380,6.1,,ok
0.35,1440,6.3,,ok
0.35,1500,6.6,,ok
0.35,1560,6.8,,ok
0.35,1620,7,,ok
0.35,1680,7.2,,ok
0.35,1740,7.4,,ok
0.35,1800,7.7,,ok
0.375,0,,,degenerate
0.375,60,1.8,,ok
0.375,120,1.9,,ok
0.375,180,2,,ok
0.375,240,2.2,,ok
0.375,300,2.3,,ok
0.375,360,2.6,,ok
0.375,420,2.8,,ok
0.375,480,3,,ok
0.375,540,3.2,,ok
0.375,600,3.4,,ok
0.375,660,3.6,,ok
0.375,720,3.8,,ok
0.375,780,4.1,,ok
0.375,840,4.3,,ok
0.375,900,4.5,,ok
0.375,960,4.7,,ok
0.375,1020,4.9,,ok
0.375,1080,5.2,,ok
0.375,1140,5.4,,ok
0.375,1200,5.6,,ok
0.375,1260,5.8,,ok
0.375,1320,6,,ok
0.375,1380,6.3,,ok
0.375,1440,6.5,,ok
0.375,1500,6.7,,ok
0.375,1560,6.9,,ok
0.375,1620,7.2,,ok
0.375,1680,7.4,,ok
0.375,1740,7.6,,ok
0.375,1800,7.8,,ok
0.4,0,,,degenerate
0.4,60,1.8,,ok
0.4,120,2,,ok
0.4,180,2.1,,ok
0.4,240,2.2,,ok
0.4,300,2.4,,ok
0.4,360,2.6,,ok
0.4,420,2.8,,ok
0.4,480,3,,ok
0.4,540,3.3,,ok
0.4,600,3.5,,ok
0.4,660,3.7,,ok
0.4,720,3.9,,ok
0.4,780,4.1,,ok
0.4,840,4.4,,ok
0.4,900,4.6,,ok
0.4,960,4.8,,ok
0.4,1020,5,,ok
0.4,1080,5.3,,ok
0.4,1140,5.5,,ok
0.4,1200,5.7,,ok
0.4,1260,5.9,,ok
0.4,1320,6.2,,ok
0.4,1380,6.4,,ok
0.4,1440,6.6,,ok
0.4,1500,6.9,,ok
0.4,1560,7.1,,ok
0.4,1620,7.3,,ok
0.4,1680,7.5,,ok
0.4,1740,7.8,,ok
0.4,1800,8,,ok
0.425,0,,,degenerate
0.425,60,1.9,,ok
0.425,120,2,,ok
0.425,180,2.2,,ok
0.425,240,2.3,,ok
0.425,300,2.5,,ok
0.425,360,2.7,,ok
0.425,420,2.9,,ok
0.425,480,3.1,,ok
0.425,540,3.3,,ok
0.425,600,3.5,,ok
0.425,660,3.8,,ok
0.425,720,4,,ok
0.425,780,4.2,,ok
0.425,840,4.5,,ok
0.425,900,4.7,,ok
0.425,960,4.9,,ok
0.425,1020,5.2,,ok
0.425,1080,5.4,,ok
0.425,1140,5.6,,ok
0.425,1200,5.9,,ok
0.425,1260,6.1,,ok
0.425,1320,6.3,,ok
0.425,1380,6.5,,ok
0.425,1440,6.8,,ok
0.425,1500,7,,ok
0.425,1560,7.3,,ok
0.425,1620,7.5,,ok
0.425,1680,7.7,,ok
0.425,1740,8,,ok
0.425,1800,8.2,,ok
0.45,0,,,degenerate
0.45,60,2,,ok
0.45,120,2.1,,ok
0.45,180,2.2,,ok
0.45,240,2.4,,ok
0.45,300,2.5,,ok
0.45,360,2.7,,ok
0.45,420,2.9,,ok
0.45,480,3.2,,ok
0.45,540,3.4,,ok
0.45,600,3.6,,ok
0.45,660,3.9,,ok
0.45,720,4.1,,ok
0.45,780,4.3,,ok
0.45,840,4.6,,ok
0.45,900,4.8,,ok
0.45,960,5,,ok
0.45,1020,5.3,,ok
0.45,1080,5.5,,ok
0.45,1140,5.7,,ok
0.45,1200,6,,ok
0.45,1260,6.2,,ok
0.45,1320,6.5,,ok
0.45,1380,6.7,,ok
0.45,1440,6.9,,ok
0.45,1500,7.2,,ok
0.45,1560,7.4,,ok
0.45,1620,7.7,,ok
0.45,1680,7.9,,ok
0.45,1740,8.1,,ok
0.45,1800,8.4,,ok
0.475,0,,,degenerate
0.475,60,2.1,,ok
0.475,120,2.2,,ok
0.475,180,2.3,,ok
0.475,240,2.5,,ok
0.475,300,2.6,,ok
0.475,360,2.8,,ok
0.475,420,3,,ok
0.475,480,3.2,,ok
0.475,540,3.5,,ok
0.475,600,3.7,,ok
0.475,660,3.9,,ok
0.475,720,4.2,,ok
0.475,780,4.4,,ok
0.475,840,4.7,,ok
0.475,900,4.9,,ok
0.475,960,5.2,,ok
0.475,1020,5.4,,ok
0.475,1080,5.6,,ok
0.475,1140,5.9,,ok
0.475,1200,6.1,,ok
0.475,1260,6.4,,ok
0.475,1320,6.6,,ok
0.475,1380,6.9,,ok
0.475,1440,7.1,,ok
0.475,1500,7.4,,ok
0.475,1560,7.6,,ok
0.475,1620,7.9,,ok
0.475,1680,8.1,,ok
0.475,1740,8.3,,ok
0.475,1800,8.6,,ok
0.5,0,,,degenerate
0.5,60,2.2,,ok
0.5,120,2.3,,ok
0.5,180,2.4,,ok
0.5,240,2.6,,ok
0.5,300,2.7,,ok
0.5,360,2.9,,ok
0.5,420,3.1,,ok
0.5,480,3.3,,ok
0.5,540,3.6,,ok
0.5,600,3.8,,ok
0.5,660,4,,ok
0.5,720,4.3,,ok
0.5,780,4.5,,ok
0.5,840,4.8,,ok
0.5,900,5,,ok
0.5,960,5.3,,ok
0.5,1020,5.5,,ok
0.5,1080,5.8,,ok
0.5,1140,6,,ok
0.5,1200,6.3,,ok
0.5,1260,6.5,,ok
0.5,1320,6.8,,ok
0.5,1380,7,,ok
0.5,1440,7.3,,ok
0.5,1500,7.6,,ok
0.5,1560,7.8,,ok
0.5,1620,8.1,,ok
0.5,1680,8.3,,ok
0.5,1740,8.6,,ok
0.5,1800,8.8,,ok
0.525,0,,,degenerate
0.525,60,2.3,,ok
0.525,120,2.4,,ok
0.525,180,2.6,,ok
0.525,240,2.7,,ok
0.525,300,2.8,,ok
0.525,360,3,,ok
0.525,420,3.2,,ok
0.525,480,3.4,,ok
0.525,540,3.6,,ok
0.525,600,3.9,,ok
0.525,660,4.1,,ok
0.525,720,4.4,,ok
0.525,780,4.7,,ok
0.525,840,4.9,,ok
0.525,900,5.2,,ok
0.525,960,5.4,,ok
0.525,1020,5.7,,ok
0.525,1080,5.9,,ok
0.525,1140,6.2,,ok
0.525,1200,6.5,,ok
0.525,1260,6.7,,ok
0.525,1320,7,,ok
0.525,1380,7.2,,ok
0.525,1440,7.5,,ok
0.525,1500,7.8,,ok
0.525,1560,8,,ok
0.525,1620,8.3,,ok
0.525,1680,8.5,,ok
0.525,1740,8.8,,ok
0.525,1800,9.1,,ok
0.55,0,,,degenerate
0.55,60,2.4,,ok
0.55,120,2.5,,ok
0.55,180,2.7,,ok
0.55,240,2.8,,ok
0.55,300,3,,ok
0.55,360,3.1,,ok
0.55,420,3.3,,ok
0.55,480,3.5,,ok
0.55,540,3.7,,ok
0.55,600,4,,ok
0.55,660,4.3,,ok
0.55,720,4.5,,ok
0.55,780,4.8,,ok
0.55,840,5,,ok
0.55,900,5.3,,ok
0.55,960,5.6,,ok
0.55,1020,5.8,,ok
0.55,1080,6.1,,ok
0.55,1140,6.4,,ok
0.55,1200,6.6,,ok
0.55,1260,6.9,,ok
0.55,1320,7.2,,ok
0.55,1380,7.4,,ok
0.55,1440,7.7,,ok
0.55,1500,8,,ok
0.55,1560,8.2,,ok
0.55,1620,8.5,,ok
0.55,1680,8.8,,ok
0.55,1740,9,,ok
0.55,1800,9.3,,ok
0.575,0,,,degenerate
0.575,60,2.5,,ok
0.575,120,2.7,,ok
0.575,180,2.8,,ok
0.575,240,3,,ok
0.575,300,3.1,,ok
0.575,360,3.3,,ok
0.575,420,3.4,,ok
0.575,480,3.6,,ok
0.575,540,3.8,,ok
0.575,600,4.1,,ok
0.575,660,4.4,,ok
0.575,720,4.6,,ok
0.575,780,4.9,,ok
0.575,840,5.2,,ok
0.575,900,5.5,,ok
0.575,960,5.7,,ok
0.575,1020,6,,ok
0.575,1080,6.3,,ok
0.575,1140,6.5,,ok
0.575,1200,6.8,,ok
0.575,1260,7.1,,ok
0.575,1320,7.4,,ok
0.575,1380,7.6,,ok
0.575,1440,7.9,,ok
0.575,1500,8.2,,ok
0.575,1560,8.5,,ok
0.575,1620,8.8,,ok
0.575,1680,9,,ok
0.575,1740,9.3,,ok
0.575,1800,9.6,,ok
0.6,0,,,degenerate
0.6,60,2.7,,ok
0.6,120,2.8,,ok
0.6,180,3,,ok
0.6,240,3.1,,ok
0.6,300,3.3,,ok
0.6,360,3.4,,ok
0.6,420,3.6,,ok
0.6,480,3.8,,ok
0.6,540,4,,ok
0.6,600,4.2,,ok
0.6,660,4.5,,ok
0.6,720,4.8,,ok
0.6,780,5,,ok
0.6,840,5.3,,ok
0.6,900,5.6,,ok
0.6,960,5.9,,ok
0.6,1020,6.2,,ok
0.6,1080,6.5,,ok
0.6,1140,6.7,,ok
0.6,1200,7,,ok
0.6,1260,7.3,,ok
0.6,1320,7.6,,ok
0.6,1380,7.9,,ok
0.6,1440,8.2,,ok
0.6,1500,8.5,,ok
0.6,1560,8.7,,ok
0.6,1620,9,,ok
0.6,1680,9.3,,ok
0.6,1740,9.6,,ok
0.6,1800,9.9,,ok
0.625,0,,,degenerate
0.625,60,2.9,,ok
0.625,120,3,,ok
0.625,180,3.2,,ok
0.625,240,3.3,,ok
0.625,300,3.5,,ok
0.625,360,3.6,,ok
0.625,420,3.8,,ok
0.625,480,3.9,,ok
0.625,540,4.1,,ok
0.625,600,4.3,,ok
0.625,660,4.6,,ok
0.625,720,4.9,,ok
0.625,780,5.2,,ok
0.625,840,5.5,,ok
0.625,900,5.8,,ok
0.625,960,6.1,,ok
0.625,1020,6.4,,ok
0.625,1080,6.7,,ok
0.625,1140,6.9,,ok
0.625,1200,7.3,,ok
0.625,1260,7.5,,ok
0.625,1320,7.8,,ok
0.625,1380,8.1,,ok
0.625,1440,8.4,,ok
0.625,1500,8.7,,ok
0.625,1560,9,,ok
0.625,1620,9.3,,ok
0.625,1680,9.6,,ok
0.625,1740,9.9,,ok
0.625,1800,10.2,,ok
0.65,0,,,degenerate
0.65,60,3.1,,ok
0.65,120,3.2,,ok
0.65,180,3.4,,ok
0.65,240,3.5,,ok
0.65,300,3.7,,ok
0.65,360,3.9,,ok
0.65,420,4,,ok
0.65,480,4.2,,ok
0.65,540,4.3,,ok
0.65,600,4.5,,ok
0.65,660,4.8,,ok
0.65,720,5.1,,ok
0.65,780,5.4,,ok
0.65,840,5.7,,ok
0.65,900,6,,ok
0.65,960,6.3,,ok
0.65,1020,6.6,,ok
0.65,1080,6.9,,ok
0.65,1140,7.2,,ok
0.65,1200,7.5,,ok
0.65,1260,7.8,,ok
0.65,1320,8.1,,ok
0.65,1380,8.4,,ok
0.65,1440,8.7,,ok
0.65,1500,9,,ok
0.65,1560,9.3,,ok
0.65,1620,9.6,,ok
0.65,1680,10,,ok
0.65,1740,10.3,,ok
0.65,1800,10.6,,ok
0.675,0,,,degenerate
0.675,60,3.3,,ok
0.675,120,3.5,,ok
0.675,180,3.6,,ok
0.675,240,3.8,,ok
0.675,300,3.9,,ok
0.675,360,4.1,,ok
0.675,420,4.3,,ok
0.675,480,4.4,,ok
0.675,540,4.6,,ok
0.675,600,4.8,,ok
0.675,660,5,,ok
0.675,720,5.2,,ok
0.675,780,5.6,,ok
0.675,840,5.9,,ok
0.675,900,6.2,,ok
0.675,960,6.5,,ok
0.675,1020,6.8,,ok
0.675,1080,7.1,,ok
0.675,1140,7.4,,ok
0.675,1200,7.8,,ok
0.675,1260,8.1,,ok
0.675,1320,8.4,,ok
0.675,1380,8.7,,ok
0.675,1440,9,,ok
0.675,1500,9.4,,ok
0.675,1560,9.7,,ok
0.675,1620,10,,ok
0.675,1680,10.3,,ok
0.675,1740,10.6,,ok
0.675,1800,11,,ok
0.7,0,,,degenerate
0.7,60,3.5,,ok
0.7,120,3.7,,ok
0.7,180,3.9,,ok
0.7,240,4.1,,ok
0.7,300,4.2,,ok
0.7,360,4.4,,ok
0.7,420,4.6,,ok
0.7,480,4.8,,ok
0.7,540,4.9,,ok
0.7,600,5.1,,ok
0.7,660,5.3,,ok
0.7,720,5.5,,ok
0.7,780,5.8,,ok
0.7,840,6.1,,ok
0.7,900,6.4,,ok
0.7,960,6.7,,ok
0.7,1020,7,,ok
0.7,1080,7.4,,ok
0.7,1140,7.7,,ok
0.7,1200,8,,ok
0.7,1260,8.4,,ok
0.7,1320,8.7,,ok
0.7,1380,9,,ok
0.7,1440,9.4,,ok
0.7,1500,9.7,,ok
0.7,1560,10.1,,ok
