regime,scenario_id,starting_bcr,date,day_index,days_from_peak,is_last_day_of_month,price_usd,price_normalized,drawdown_from_peak,running_min_price_normalized,running_max_drawdown,daily_return,realized_vol_30d,btc_price_regime_pctile,bitcoin_coverage_ratio,bcr_min_so_far,btc_reserve_index,btc_held_index,btc_reserve_usd,btc_held,btc_value_usd,annual_obligation_usd,monthly_obligation_usd,is_payment_day,monthly_obligation_over_annual,btc_sold_today_fraction,btc_sold_today_usd,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_over_annual,cumulative_payments_usd,btc_held_mechanical,btc_held_index_mechanical,btc_value_usd_mechanical,btc_sold_today_fraction_mechanical,btc_sold_today_usd_mechanical,cumulative_btc_sold_fraction_mechanical,cumulative_btc_sold_usd_mechanical,is_trough_day,is_bcr_min_day,is_recovery_day,is_primary_failure_day,has_failed_primary,reached_recovery,is_terminal_liquidity_day,has_reached_terminal_liquidity,days_to_trough,days_to_bcr_min,days_to_recovery,days_to_primary_failure,days_to_terminal_liquidity
early_2011,early_2011_bcr1.0,1,2011-06-08,0,0,false,29.0299,1,0,1,0,,,1,1.0000000000000002,1.0000000000000002,1.0000000000000002,1,1000000000.0000001,34447242.32601559,1000000000.0000001,1000000000,83333333.33333333,false,0,0,0,0,0,0,0,34447242.32601559,1,1000000000.0000001,0,0,0,0,false,false,false,false,false,false,false,false,,,,,
early_2011,early_2011_bcr1.0,1,2011-06-09,1,1,false,28.7905,0.9917533301871518,0.008246669812848162,0.9917533301871518,0.008246669812848162,-0.008246669812848162,,0.9911085690515807,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,991753330.1871519,1000000000,83333333.33333333,false,0,0,0,0,0,0,0,34447242.32601559,1,991753330.1871519,0,0,0,0,false,true,false,true,true,false,false,false,,1,,1,
early_2011,early_2011_bcr1.0,1,2011-06-30,22,22,true,16.1853,0.5575389512192601,0.4424610487807399,0.5080864901360321,0.49191350986396787,-0.03971022747499198,,0.5229453886379843,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,557538951.2192602,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,29298537.431244824,0.8505336117752941,474205617.8859269,0.14946638822470593,83333333.33333333,0.14946638822470593,83333333.33333333,false,false,false,false,true,false,false,false,,1,,1,
early_2011,early_2011_bcr1.0,1,2011-07-31,53,53,true,13.3729,0.46065952690157386,0.5393404730984261,0.44660160730832693,0.553398392691673,-0.012363093875320419,0.6944885921582091,0.41849150225814113,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,460659526.9015739,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,23067029.431234855,0.6696335576858047,308473077.8809606,0.18090005408948942,83333333.33333333,0.3303664423141953,166666666.66666666,false,false,false,false,true,false,false,false,,1,,1,
early_2011,early_2011_bcr1.0,1,2011-08-31,84,84,true,8.1992,0.282439829279467,0.717560170720533,0.23989748500683777,0.7601025149931622,-0.06931974256234474,2.2254221857222363,0.2263378000950796,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,282439829.27946705,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,12903436.235150684,0.3745854635628008,105797854.37924747,0.29504809412300387,83333333.33333333,0.6254145364371992,250000000,false,false,false,false,true,false,false,false,,1,,1,
early_2011,early_2011_bcr1.0,1,2011-09-09,93,93,false,4.9868,0.17178150803137454,0.8282184919686255,0.17178150803137454,0.8282184919686255,-0.25327183971728917,1.468304238798093,0.10702772165438552,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,171781508.03137454,1000000000,83333333.33333333,false,0,0,0,0,0,0,0,12903436.235150684,0.3745854635628008,64346855.81744943,0,0,0.6254145364371992,250000000,false,false,false,false,true,false,true,true,,1,,1,93
early_2011,early_2011_bcr1.0,1,2011-09-30,114,114,true,5.1437,0.1771862803523264,0.8228137196476736,0.16337638090382672,0.8366236190961733,0.07660589823555264,1.6821825568704607,0.11285506299025433,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,177186280.3523264,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0.3745854635628008,66371404.96274457,1,316371404.9627446,false,false,false,false,true,false,false,true,,1,,1,93
early_2011,early_2011_bcr1.0,1,2011-10-31,145,145,true,3.2651,0.1124736909186735,0.8875263090813265,0.07637987040947436,0.9236201295905256,0.0023638484681034466,1.908889563796406,0.04308295697646778,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,112473690.9186735,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,,1,,1,93
early_2011,early_2011_bcr1.0,1,2011-11-18,163,163,false,2.1051,0.07251488982049542,0.9274851101795045,0.07251488982049542,0.9274851101795045,-0.07634592602343027,1.8587018430226847,0,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,72514889.82049543,1000000000,83333333.33333333,false,0,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,true,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2011-11-30,175,175,true,2.966,0.10217052073896224,0.8978294792610377,0.07251488982049542,0.9274851101795045,0.07553395945896968,1.3638984249806632,0.031974239362966485,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,102170520.73896225,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2011-12-31,206,206,true,4.7143,0.16239463449753527,0.8376053655024647,0.07251488982049542,0.9274851101795045,0.09365285575093951,0.8381871638402867,0.0969069408129308,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,162394634.4975353,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-01-31,237,237,true,5.5382,0.19077571744993954,0.8092242825500604,0.07251488982049542,0.9274851101795045,0.006305078586354096,1.4239887453787707,0.1275069824102686,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,190775717.44993955,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-02-29,266,266,true,4.8727,0.16785107768197616,0.8321489223180238,0.07251488982049542,0.9274851101795045,0.003170485660757949,0.9781330760090766,0.1027899928690278,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,167851077.68197617,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-03-31,297,297,true,4.8898,0.16844012552575102,0.831559874474249,0.07251488982049542,0.9274851101795045,0.005841938536224278,0.6138960808780701,0.10342509507962919,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,168440125.52575105,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-04-30,327,327,true,4.9421,0.17024171629940163,0.8297582837005983,0.07251488982049542,0.9274851101795045,0.008056949373801636,0.35749752508514143,0.10536754219158544,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,170241716.29940164,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-05-31,358,358,true,5.1816,0.1784918308364824,0.8215081691635175,0.07251488982049542,0.9274851101795045,0.008426911624467293,0.1443652805821654,0.11426268718801998,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,178491830.8364824,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-06-30,388,388,true,6.6804,0.23012135763471453,0.7698786423652855,0.07251488982049542,0.9274851101795045,0.0032438277167057272,0.45575472208430745,0.1699288388400285,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,230121357.63471454,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-07-31,419,419,true,9.321,0.3210827457207913,0.6789172542792087,0.07251488982049542,0.9274851101795045,0.02560434844800441,0.572270636391435,0.26800199072973613,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,321082745.72079134,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
early_2011,early_2011_bcr1.0,1,2012-08-31,450,450,true,10.1024,0.3479998208743399,0.6520001791256601,0.07251488982049542,0.9274851101795045,-0.05828835631123175,1.7862480265164273,0.29702356192060847,0.991753330187152,0.991753330187152,0.991753330187152,1,991753330.1871519,34447242.32601559,347999820.8743399,1000000000,83333333.33333333,true,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,316371404.9627446,false,false,false,false,true,false,false,true,163,1,,1,93
